University of Aberdeen,Degree Programme,Degree Programme,Causal inference using deep learning,Department of Computing Science
University of Aberdeen,Accountancy,Accounting and Finance,Realistic Simulation: Synthetic to Realistic Underwater Scene Translation,Department of Computing Science
University of Aberdeen,Accountancy and Business Management,Advanced Chemical Engineering,AI (Artificial Intelligence) Powered Autonomous Inspection and Monitoring by Multiple Mini-Drones,Department of Computing Science
University of Aberdeen,Accountancy and Economics,Advanced Clinical Practice,Device-aware Security Solution for Critical Infrastructure,Department of Computing Science
University of Aberdeen,Accountancy and Finance,Advanced Mechanical Engineering,Collaborative Learning and Blockchain-enabled Cybersecurity Model for V2X Communications,Department of Computing Science
University of Aberdeen,Accountancy and French,Advanced Restorative Dental Practice,Studying the security and privacy of Identity management systems,Department of Computing Science
University of Aberdeen,Accountancy and German,Advanced Structural Engineering,Machine Learning systems for transparent sustainability actions in agri-food,Department of Computing Science
University of Aberdeen,Accountancy and German,Analytical Chemistry,Downstream Processing and Structure Confirmation of Chemoenzymatically Produced Macrocycles,Department of Chemistry
University of Aberdeen,Accountancy and Legal Studies,Applied Anatomy (Musculoskeletal System),Can PTP1B inhibition rewire macrophage function to improve anti-tumour immunity in breast cancer treatment?,"School of Medicine, Medical Sciences & Nutrition"
University of Aberdeen,Accountancy and Spanish & Latin American Studies,Applied Health Sciences,Investigating the adipose-inflammatory paradox in pre- and post-menopausal breast cancer development,"School of Medicine, Medical Sciences & Nutrition"
University of Aberdeen,Accountancy and Spanish & Latin American Studies,Applied Marine and Fisheries Ecology,"Defining the links between antibiotic exposure, gut microbial composition and colorectal cancer","School of Medicine, Medical Sciences & Nutrition"
University of Aberdeen,Animal Behaviour,Archaeology,Developing new anti-cancer drugs: computational design and chemoenzymatic production of modified cyclic peptide inhibitors of the oncogenic mortalin-p53 interaction,"School of Medicine, Medical Sciences & Nutrition"
University of Aberdeen,Animal Behaviour and Welfare,Archaeology of the North,Targeting Cannabinoid Receptors for the Treatment of Colorectal Cancer,"School of Medicine, Medical Sciences & Nutrition"
University of Aberdeen,Anthropology,Artificial Intelligence,Understanding tumour susceptibility to replication-inhibiting chemotherapy,"School of Medicine, Medical Sciences & Nutrition"
University of Aberdeen,Anthropology and Archaeology,Autism & Learning,"Design, Control and Analysis of Multi Terminal HVDC Systems",School of Engineering
University of Aberdeen,Anthropology and English,Bioarchaeological Science,Hydrodynamic Performance of Billfish Skin Surface Roughness: Towards Drag-Reducing Engineering Surfaces,School of Engineering
University of Aberdeen,Anthropology and Film & Visual Culture,Biomedical Engineering,An evo-devo approach to invasive biology and resilience to climate change,School of Biological Sciences
University of Aberdeen,Anthropology and French,Biomolecular Archaeology,Integrating genomics and modelling to predict climate change response and identify drivers of decline in the endangered freshwater pearl mussel (Margaritifera margaritifera),School of Biological Sciences
University of Aberdeen,Anthropology and French (5 years),"Biotechnology, Bioinformatics and Bio-business","Researching the politics of the past in Scotland: heritage, identity, and archaeology in times of political polarization",Department of Archaeology
University of Aberdeen,Anthropology and Gaelic Studies,Business Law and Sustainable Development with Dissertation,How does the chromatin- and RNA-associated protein SAF-A support chromosomal DNA replication and promote cancer?,"School of Medicine, Medical Sciences & Nutrition"
University of Aberdeen,Anthropology and Geography,Cardiovascular Science and Diabetes,Multidimensional poverty among older people in the UK,"School of Medicine, Medical Sciences & Nutrition"
University of Aberdeen,Anthropology and German,Clinical Education,Combining Multiscale Digital Rock Technology with Artificial Intelligence to Identify Potential Hydrocarbon Recovery,School of Engineering
University of Aberdeen,Anthropology and German (5 years),Clinical Nutrition,’Wait a minute! How did it...?’ Unravelling the causes and consequences of the evolution of larval development in invertebrates (Distance Learning Project),School of Biological Sciences
University of Aberdeen,Anthropology and History,Clinical Pharmacology,Food Security Now! Mining Data on Insect Ecology to Create More Sustainable Pest Control Management (Distance Learning Project),School of Biological Sciences
University of Aberdeen,Anthropology and International Relations,Corporate Finance and Law,Understanding patterns in academic colonialism in ecological research (distance learning),School of Biological Sciences
University of Aberdeen,Anthropology and Philosophy,Creative Writing,The costs and benefits of antimicrobial resistance in human fungal pathogens,"School of Medicine, Medical Sciences & Nutrition"
University of Aberdeen,Anthropology and Politics,Criminal Justice,The problem of epistemic values,"School of Divinity, History & Philosophy"
University of Aberdeen,Anthropology and Psychology,Criminal Justice and Human Rights,Scottish Liberalism in the Long Nineteenth Century,"School of Divinity, History & Philosophy"
University of Aberdeen,Anthropology and Sociology,Cultural and Creative Communication,"Images of a Foreign Land. Scotland, Poland-Lithuania and the Problem of Cultural Transfer","School of Divinity, History & Philosophy"
University of Aberdeen,Anthropology and Spanish & Latin American Studies,Cultural Heritage,Developing management guidance for supporting a sustainable wrasse fishery in Scotland,School of Biological Sciences
